event_date,event_time,job_number,host_name,city,state,venue,topic,registration_max,fulfillment_percent,net_registrants,gross_registrants,fb_registrants,fb_cpr,attended_hh,walk_ins,attendance_rate,cpa,marketing_start_date,fb_days_running,fb_impressions,cpm,fb_reach,broker_dealer_account,ria_account,venue_type,venue_image_allowed,venue_disclosure_needed
2023-03-13,11:00:00,DN-018698,Bradley D Vey,Lake Orion,MI,Orion Center,social_security_567,36,0.47,17,23,20,40.8,11,1,0.48,73.46,2023-02-27,13.0,65128,22.55,42800,,truAdvice LLC,Community Center,True,True
2024-10-01,19:00:00,DN-023544,Kelton Merrill Burgess,Pittsburgh,PA,La Roche University,estate_planning_567,36,0.53,19,23,20,52.61,7,1,0.3,168.53,2024-09-17,13.0,81731,22.53,35500,,"Impact Partnership Wealth, LLC",University/College,True,True
2023-05-16,11:00:00,DN-019388,Steven Bosworth,Land O' Lakes,FL,Land O' Lakes Recreation Complex,social_security_567,36,0.44,16,21,20,44.35,5,0,0.24,183.06,2023-05-02,15.0,80730,22.52,50200,,,Recreation Center,True,True
2024-02-28,18:00:00,DN-022427,Yelisey Kuts,Rosemount,MN,Robert Trail Library,taxes_in_retirement_567,24,0.88,21,25,20,53.1,14,1,0.56,80.09,2024-02-13,15.0,92264,22.45,40800,,"Guardian Wealth Strategies, LLC",Library,True,True
2024-02-26,11:30:00,DN-022725,Samuel Josiah Dixon,Oviedo,FL,Oviedo Amphitheatre and Cultural Center,social_security_567,48,0.58,28,32,20,50.03,11,1,0.34,143.94,2024-02-12,14.0,44760,22.35,0,,"Oxford Wealth Group, LLC",Art Center/Theatre,True,True
2024-04-11,18:30:00,DN-023151,Matthew James Edward Goolsby,Overland Park,KS,Tomahawk Ridge Community Center,social_security_567,34,0.62,21,26,20,67.96,11,2,0.42,151.22,2024-03-28,15.0,60862,22.33,121400,,Foundations Investment Advisors LLC,Community Center,True,True
2025-02-06,18:30:00,119502,Mitchell Beatty,Concord,NC,Concord Fire Station No.12,taxes_in_retirement_567,24,0.79,19,25,20,22.79,12,0,0.48,78.17,2025-01-22,9.0,41993,22.25,31560,0,0,Municipal Building,True,True
2024-04-22,11:00:00,DN-022684,Jo0than Tolbert Melton,Canton,GA,Sequoyah Regio0l Library System - R.T. Jones Library,estate_planning_567,24,0.92,22,26,20,26.22,19,2,0.73,31.39,2024-04-08,9.0,46268,22.1,26500,,MariPau Wealth Ma0gement LLC,Library,True,True
2024-10-08,14:30:00,DN-024724,0te Joseph Miller,Lawrence,KS,Lawrence Public Library,social_security_567,24,1.21,29,31,20,24.66,17,3,0.55,51.2,2024-09-24,12.0,43945,21.89,16800,,"AE Wealth Ma0gement, LLC",Library,True,True
2023-05-25,18:00:00,DN-019653,Eric Stanley Springer,Lowell,MI,Kent District Library - Englehardt Branch,estate_planning_567,36,0.42,15,20,20,51.73,11,0,0.55,89.23,2023-05-11,12.0,87944,21.76,16600,"J.W. Cole Fi0ncial, Inc.","J.W. Cole Advisors, Inc.",Library,True,True
2024-01-16,18:30:00,DN-021595,Chad Michael Ensign,Apache Junction,AZ,Central Arizo0 College - Superstition Mountain Campus,taxes_in_retirement_567,24,0.79,19,24,20,30.2,10,1,0.42,66.56,2024-01-01,10.0,62886,21.61,70300,,"AE Wealth Ma0gement, LLC",University/College,True,True
2024-02-27,18:00:00,DN-022602,Victor Jerome Gray,Cincin0ti,OH,Schuler Community Room,taxes_in_retirement_567,24,0.88,21,29,20,42.41,11,0,0.38,106.68,2024-02-13,11.0,74964,21.5,72300,,,Community Center,True,True
2023-01-30,11:00:00,DN-018054,Shea Swenson,Bountiful,UT,South Davis Recreation Center,social_security_567,24,0.79,19,24,20,17.54,8,0,0.33,43.13,2023-01-16,11.0,33470,21.49,21800,,,Recreation Center,True,True
2024-02-29,18:00:00,DN-021653,William George Berigan,Shoreview,MN,Shoreview Community Center,estate_planning_567,30,0.67,20,23,20,23.1,13,0,0.57,40.18,2024-02-05,9.0,59300,21.42,51800,Commonwealth Fi0ncial Network,,Community Center,True,True
2024-06-11,18:00:00,DN-023762,Yahya Al Azzawi,Riverview,FL,Hillsborough Community College at The Regent,social_security_567,24,0.83,20,26,20,13.64,7,0,0.27,42.72,2024-05-29,9.0,27422,21.39,0,,,Community College,True,True
2024-08-28,18:00:00,DN-024195,Steven Bosworth,Lutz,FL,Lutz Community Center,social_security_567,24,1.0,24,27,20,26.56,13,0,0.48,66.39,2024-08-05,16.0,75892,21.35,35000,,,Community Center,True,True
2024-01-24,18:00:00,DN-020101,Jo0than Ray Zweifel,Scottsdale,AZ,Chaparral Park Community Center,estate_planning_567,24,0.63,15,20,20,51.34,3,0,0.15,327.49,2024-01-09,14.0,91682,21.28,85200,"Osaic Wealth, Inc.",,Community Center,True,True
2024-08-22,18:30:00,DN-023560,Michael Joseph LaMarche,Wentzville,MO,Wentzville Rec Center,social_security_567,48,0.4,19,24,20,47.83,8,0,0.33,210.2,2024-08-08,12.0,44974,21.27,14700,,"AE Wealth Ma0gement, LLC",Recreation Center,True,True
2024-06-17,18:00:00,DN-023933,Yelisey Kuts,Rosemount,MN,Dakota County Technical College,social_security_567,24,0.79,19,24,20,38.59,10,1,0.42,89.47,2024-06-03,18.0,53144,21.06,17400,,"Guardian Wealth Strategies, LLC",University/College,True,True
2023-02-21,18:30:00,DN-018526,Charles D. Booth,Flower Mound,TX,North Central Texas College - Flower Mound Campus,social_security_567,60,0.5,30,35,20,24.21,26,6,0.74,28.26,2023-01-12,25.0,157890,21.01,79500,,,Community College,True,True
2024-04-23,18:00:00,DN-022507,Brandon Michael Domenick,Pittsburgh,PA,La Roche University,social_security_567,36,0.5,18,22,20,36.72,8,0,0.36,92.85,2024-04-09,16.0,89646,20.89,35000,,Capital A Wealth Ma0gement,University/College,True,True
2024-03-27,18:00:00,DN-022960,Kelly Lynn Racicot,Ebensburg,PA,Young Peoples Community Center,estate_planning_567,24,0.88,21,22,20,26.9,13,0,0.59,41.08,2024-03-12,10.0,59299,20.87,5200,,"Gradient Advisors, LLC",Community Center,True,True
2024-10-01,18:00:00,DN-024482,Joe Sassano,Boca Raton,FL,Spanish River Library,social_security_567,24,0.88,21,28,20,7.69,7,2,0.25,40.7,2024-09-17,5.0,15487,20.84,65600,,,Library,True,True
2023-03-01,11:00:00,DN-018374,Charisse Valerie Mackenzie,Chandler,AZ,Tumbleweed Recreation Center,social_security_567,24,0.88,21,23,20,36.02,11,0,0.48,62.76,2023-02-15,16.0,52036,20.77,85200,,"AE Wealth Ma0gement, LLC",Recreation Center,True,True
2024-09-10,11:00:00,DN-024076,Eloisa Robison,Shoreview,MN,Shoreview Community Center,social_security_567,24,0.92,22,26,20,54.01,12,0,0.46,99.33,2024-08-26,13.0,70786,20.6,41600,"Gradient Securities, LLC",Paladin Fi0ncial,Community Center,True,True
2023-01-11,18:00:00,DN-017244,Patrick Keith Riley,Mooresville,NC,Mooresville War Memorial Building (X),taxes_in_retirement_567,24,0.92,22,22,20,38.63,10,1,0.45,78.05,2022-12-26,13.0,80832,20.55,28000,,Optimal Planning LLC,Community Center,True,True
2023-03-01,11:00:00,DN-018388,Diane Lynn Young,Rochester,MI,Rochester Community House,estate_planning_567,36,0.83,30,36,20,24.68,14,0,0.39,38.6,2023-02-14,9.0,54129,20.52,63000,,"Arrowroot Family Office, LLC",Community Center,True,True
2024-06-06,18:00:00,DN-023846,Toby Michael Sarahan,Lakeville,MN,Heritage Library,estate_planning_567,30,0.83,25,32,20,24.71,16,1,0.5,44.94,2024-05-23,11.0,51884,20.48,37600,"Benjamin F. Edwards & Company, Inc.",,Library,True,True
2024-04-24,18:00:00,DN-023300,Wesley Wayne Warren,Allen,TX,Allen Public Library (X),social_security_567,29,1.03,30,35,20,18.44,20,1,0.57,22.92,2024-04-09,8.0,30036,20.26,63400,,"Fi0ncial Security Services Group, Inc.",Library,True,True
2024-05-30,11:00:00,DN-023826,Eric Fritts,Spring Hill,TN,Longview Recreation Center,social_security_567,24,0.83,20,24,20,9.72,11,0,0.46,24.0,2024-05-14,5.0,15560,20.0,22800,,Brookstone Capital Ma0gement LLC,Community Center,True,True
2024-03-06,18:00:00,DN-022863,Brett Reed Casti0do,Elkhorn,NE,Bess Johnson Elkhorn Public Library,estate_planning_567,24,0.88,21,24,20,24.3,12,0,0.5,68.04,2024-02-21,7.0,43880,19.94,40800,,,Library,True,True
2023-01-10,18:30:00,DN-017171,Paul Albert Stout,Knoxville,TN,Pellissippi State Community College - Hardin Valley Campus,taxes_in_retirement_567,24,0.67,16,25,20,23.17,10,0,0.4,48.09,2022-12-27,13.0,51176,19.92,49200,,,Community College,True,True
2023-05-01,18:00:00,DN-018280,Kevin Neal Richards,Mission Viejo,CA,Norman P. Murray Community and Senior Center,social_security_567,24,1.08,26,26,20,16.37,14,0,0.54,28.88,2023-04-17,9.0,34579,19.88,95100,,"KNR Wealth Ma0gement, Inc.",Community Center,True,True
2024-07-18,11:00:00,DN-023821,Bradley D Vey,Howell,MI,Oceola Community Center,social_security_567,35,0.57,20,25,20,38.73,13,0,0.52,79.6,2024-07-02,16.0,82000,19.84,21200,,,Community Center,True,True
2023-05-04,18:00:00,DN-018525,Geoffrey Alan Johnson,Chandler,AZ,Tumbleweed Recreation Center,estate_planning_567,24,0.71,17,22,20,27.56,6,0,0.27,81.25,2023-04-18,10.0,56958,19.84,119300,,"Wealth Ma0gement Advisors, LLC",Recreation Center,True,True
2024-09-16,15:00:00,DN-024255,Bradley D Vey,Clarkston,MI,Clarkston Independence District Library,social_security_567,36,0.64,23,29,20,43.74,16,1,0.55,75.91,2024-09-02,15.0,81598,19.83,25200,,"Foguth Wealth Ma0gement, LLC.",Library,True,True
2024-07-24,11:00:00,DN-023823,Bradley D Vey,Grand Ledge,MI,Grand Ledge Area District Library,social_security_567,46,0.48,22,23,20,44.99,11,1,0.48,85.18,2024-07-10,13.0,45403,19.82,14800,,,Library,True,True
2023-01-25,11:00:00,DN-018082,Justin Lea Dean,Newton,NC,Catawba County Library System - Main,taxes_in_retirement_567,18,0.83,15,20,20,14.21,10,0,0.5,27.69,2023-01-11,8.0,27321,19.76,26000,,FIG Fi0ncial Independence Group Inc.,Library,True,True
2024-09-17,11:00:00,DN-024293,Bradley D Vey,Commerce Charter Township,MI,Commerce Township Community Library,social_security_567,48,0.48,23,27,20,49.91,14,0,0.52,102.65,2024-09-03,13.0,50893,19.61,34700,,"Foguth Wealth Ma0gement, LLC.",Library,True,True
2024-02-12,14:00:00,DN-021333,Andrew J Klein,Sun Prairie,WI,Sun Prairie Public Library,taxes_in_retirement_567,24,0.83,20,21,20,37.63,15,0,0.71,51.54,2024-01-29,13.0,86492,19.58,23300,LPL Fi0ncial LLC,"Gateway Wealth Partners, LLC",Library,True,True
2024-01-23,11:00:00,DN-021888,Kurt E. Stahl,Lakewood Ranch,FL,Lakewood Ranch Town Hall,social_security_567,30,0.67,20,30,20,31.24,17,0,0.57,49.91,2024-01-08,15.0,65595,19.52,55400,,"AE Wealth Ma0gement, LLC",Chamber of Commerce,True,True
2023-08-31,19:00:00,DN-020717,Will Worsham,Ozark,MO,Ozark Community Center (The OC),estate_planning_567,24,0.92,22,28,20,7.62,15,0,0.54,11.59,2023-08-15,3.0,17176,19.51,26200,,,Recreation Center,True,True
2023-01-18,11:00:00,DN-018037,Clifton Anthony Ross,Maple Grove,MN,MAPLE GROVE COMMUNITY CENTER,taxes_in_retirement_567,24,0.79,19,24,20,25.23,12,0,0.5,42.61,2023-01-03,8.0,51939,19.43,69700,,Belpointe Asset Ma0gement LLC,Community Center,True,True
2023-01-17,11:00:00,DN-018037,Clifton Anthony Ross,Maple Grove,MN,MAPLE GROVE COMMUNITY CENTER,taxes_in_retirement_567,24,0.79,19,26,20,25.23,11,0,0.42,50.36,2023-01-03,8.0,51939,19.43,69700,,Belpointe Asset Ma0gement LLC,Community Center,True,True
2024-02-26,12:00:00,DN-022667,Matthew James Edward Goolsby,Overland Park,KS,Matt Ross Community Center,social_security_567,48,0.67,32,39,20,63.31,19,2,0.49,112.51,2024-02-12,15.0,65433,19.35,102900,,Foundations Investment Advisors LLC,Community Center,True,True
2025-03-05,11:00:00,119483,Michael Foguth,Village of Clarkston,MI,Clarkston Independence District Library,social_security_567,36,0.5,18,20,20,38.19,13,0,0.65,52.23,2025-02-19,18.0,79011,19.34,61533,0,"Foguth Wealth Ma0gement, LLC.",Library,True,True
2025-03-11,11:00:00,119483,Michael Foguth,Village of Clarkston,MI,Clarkston Independence District Library,social_security_567,36,0.64,23,25,20,38.19,15,4,0.6,56.58,2025-02-19,18.0,79011,19.34,61533,0,"Foguth Wealth Ma0gement, LLC.",Library,True,True
2025-01-28,18:00:00,119235,Kelly Racicot,Ebensburg,PA,Young Peoples Community Center,estate_planning_567,24,0.71,17,20,20,39.39,8,0,0.4,96.34,2025-01-14,12.0,92128,19.24,52989,0,0,Community Center,True,True
2023-04-04,18:00:00,DN-018128,Brandon Michael Domenick,Wexford,PA,Pittsburgh North Regio0l Chamber of Commerce,social_security_567,36,0.5,18,23,20,42.44,15,0,0.65,60.12,2023-03-21,16.0,86876,19.05,33700,,"AE Wealth Ma0gement, LLC",Chamber of Commerce,True,True
2023-05-16,18:00:00,DN-019685,Kevin Michael Gotwalt,Avondale,AZ,Estrella Mountain Community College,social_security_567,24,0.75,18,24,20,21.16,8,0,0.33,52.04,2023-05-02,12.0,45557,19.04,58600,,,Community College,True,True
2024-04-16,18:00:00,DN-023260,Tony Atalig Sablan,Bellevue,WA,North Bellevue Community Center,estate_planning_567,24,1.04,25,30,20,8.82,9,1,0.3,43.49,2024-04-02,4.0,19943,19.02,68900,NYLIFE Securities LLC,Eagle Strategies LLC,Community Center,True,True
2024-08-13,11:00:00,DN-023496,Kenneth Wayne Askew,Madison,AL,Madison Public Library,estate_planning_567,24,0.92,22,27,20,5.53,15,1,0.56,12.02,2024-07-30,2.0,11469,18.79,43700,"Concourse Fi0ncial Group Securities, Inc.",,Library,True,True
2024-08-26,18:00:00,DN-023632,Geoffrey Alan Johnson,Gilbert,AZ,Gilbert Southeast Regio0l Library,estate_planning_567,24,1.04,25,28,20,24.82,17,0,0.61,38.91,2024-08-12,9.0,56764,18.36,104700,,"Wealth Ma0gement Advisors, LLC",Library,True,True
2023-05-08,18:00:00,DN-019347,Bradley D Vey,Washington,MI,Washington Township Office,social_security_567,36,0.61,22,27,20,24.49,17,2,0.63,36.25,2023-05-01,12.0,75152,18.25,78500,,truAdvice LLC,Community Center,True,True
2023-01-12,18:30:00,DN-017233,Gerard Joseph O'Neill,Doylestown,PA,Central Bucks Senior Center,social_security_567,24,0.88,21,27,20,7.26,13,0,0.48,10.81,2022-12-27,5.0,15178,18.18,34700,,CG Advisory Services,Senior Center,True,True
2023-02-13,11:00:00,DN-018435,Kelton Merrill Burgess,Pittsburgh,PA,Mt. Lebanon Recreation Center,estate_planning_567,24,0.88,21,26,20,14.23,18,0,0.69,16.44,2023-01-30,5.0,34487,18.15,92000,,,Community Center,True,True
2023-01-12,11:00:00,DN-017105,Bradley D Vey,Northville,MI,Northville Community Center,estate_planning_567,24,0.63,15,25,20,26.68,7,0,0.28,78.23,2022-12-29,8.0,59501,17.94,95800,,truAdvice LLC,Community Center,True,True
2023-01-12,18:00:00,DN-017105,Bradley D Vey,Northville,MI,Northville Community Center,estate_planning_567,24,0.75,18,25,20,26.68,7,1,0.28,78.23,2022-12-29,8.0,59501,17.94,95800,,truAdvice LLC,Community Center,True,True
2024-04-23,11:00:00,DN-022152,Melissa Elizabeth Pilzner,Farmington Hills,MI,The Hawk - Farmington Hills Community Center,social_security_567,24,0.88,21,24,20,8.79,11,0,0.46,39.54,2024-04-09,5.0,19710,17.83,71100,"Avantax Investment Services, Inc.",,Community Center,True,True
2024-04-23,18:00:00,DN-022152,Melissa Elizabeth Pilzner,Farmington Hills,MI,The Hawk - Farmington Hills Community Center,social_security_567,24,0.88,21,26,20,8.79,11,0,0.42,42.84,2024-04-09,5.0,19710,17.83,71100,"Avantax Investment Services, Inc.",,Community Center,True,True
2023-10-03,11:00:00,DN-021213,James Thomas Mckay,Virginia Beach,VA,Meyera E. Oberndorf Central Library,social_security_567,24,0.96,23,27,20,2.89,12,2,0.44,4.79,2023-09-19,2.0,6334,17.82,98200,,,Library,True,True
2023-03-30,18:30:00,DN-018555,Eric Cameron,North Canton,OH,Walsh University,social_security_567,24,0.96,23,27,20,11.86,17,0,0.63,15.35,2023-03-14,9.0,30080,17.34,42900,,,University/College,True,True
2024-05-09,18:00:00,DN-023626,Brant Jason Spreitzer,Crystal Lake,IL,Crystal Lake Public Library,social_security_567,24,0.83,20,26,20,10.01,10,0,0.38,26.93,2024-04-23,7.0,26170,17.22,43100,Country Capital Ma0gement Company,,Library,True,True
2024-01-23,18:30:00,DN-021840,Esai James Ferguson,Estero,FL,Estero Recreation Center,social_security_567,19,0.84,16,20,20,15.89,9,0,0.45,35.32,2024-01-09,12.0,37041,16.73,48400,LPL Fi0ncial LLC,,Recreation Center,True,True
2023-07-18,18:00:00,DN-020335,Daniel Robert Hill,Midlothian,VA,Brightpoint Community College - Midlothian Campus,social_security_567,24,0.88,21,26,20,7.34,12,0,0.46,12.97,2023-06-29,6.0,19412,16.65,40300,,Hill Wealth Strategies,Community College,True,True
2023-06-13,11:00:00,DN-020206,Jeffrey Allen Verbeke,Appleton,WI,Fox Valley Technical College - D.J. Bordini Center,social_security_567,30,0.57,17,23,20,29.76,11,0,0.48,54.23,2023-05-30,13.0,67182,16.39,37700,"OneAmerica Securities, Inc.","OneAmerica Securities, Inc.",Tech School,True,True
2023-08-15,11:00:00,DN-020692,George Franklin Vieth,Chattanooga,TN,Downtown Branch - Chattanooga Public Library,social_security_567,24,0.75,18,23,20,13.56,10,2,0.43,28.72,2023-08-07,9.0,39460,15.47,53900,Cetera Advisor Networks LLC,Cetera Investment Advisers LLC,Library,True,True
2023-08-29,11:00:00,DN-020596,Phillip Helms,The Villages,FL,Villages Public Library at Belvedere,social_security_567,24,0.88,21,25,20,6.63,11,0,0.44,12.78,2023-08-15,5.0,19312,15.44,83500,Transamerica Agency Network,,Library,True,True
2024-01-24,11:00:00,DN-021893,Bradley D Vey,Clarkston,MI,Clarkston Independence District Library,social_security_567,36,0.36,13,21,20,29.71,7,0,0.33,95.38,2024-01-08,13.0,86885,15.39,29700,,,Library,True,True
2024-01-24,13:00:00,DN-021516,Anthony J. Mampieri,Westerville,OH,Westerville Public Library,estate_planning_567,24,0.83,20,28,20,12.75,9,0,0.32,39.95,2024-01-09,4.0,30959,15.24,84500,,"AE Wealth Ma0gement, LLC",Library,True,True
2025-01-30,11:00:00,120091,Julius Gilgur,Mesa,AZ,Mesa Public Library - Main Branch,social_security_567,24,0.63,15,23,20,11.98,7,2,0.3,36.86,2025-01-16,7.0,34724,15.18,29274,0,0,Library,True,True
2023-01-26,18:30:00,DN-018047,Nikolas Steven Adams,Peoria,IL,Illinois Central College - Peoria Campus,social_security_567,24,0.88,21,28,20,9.24,12,1,0.43,17.08,2023-01-10,6.0,26428,14.68,52200,,,Community College,True,True
2025-04-01,11:00:00,122856,Kristen Smigelski,Jupiter,FL,The River Center,taxes_in_retirement_567,36,0.44,16,22,21,70.85,9,1,0.41,166.78,2025-03-25,7.0,43905,41.96,31324,0,0,0ture Center/Preserve,True,True
2023-12-13,18:30:00,DN-019938,Scott Callis Barcomb,Venice,FL,Venice Community Center,taxes_in_retirement_567,35,0.71,25,25,21,48.67,14,1,0.56,80.01,2023-11-28,15.0,69552,40.59,78800,"Berthel, Fisher & Company Fi0ncial Services, Inc.","Berthel, Fisher & Company Fi0ncial Services, Inc.",Community Center,True,True
2024-12-06,11:00:00,118142,Anthony Kurnellas,Jacksonville,FL,Pablo Creek Regio0l Library,taxes_in_retirement_567,24,0.96,23,23,21,35.24,6,0,0.26,126.83,2024-11-25,11.0,40535,39.99,32582,0,"Omnitrust Wealth Ma0gement, Inc.",Library,True,True
2023-10-11,18:30:00,DN-019179,Scott Callis Barcomb,Venice,FL,Venice Community Center,taxes_in_retirement_567,35,0.43,15,21,21,56.05,7,0,0.33,158.27,2023-09-26,15.0,70633,38.09,82800,"Berthel, Fisher & Company Fi0ncial Services, Inc.","Berthel, Fisher & Company Fi0ncial Services, Inc.",Community Center,True,True
2023-12-01,11:00:00,DN-021572,Anthony C. Kurnellas,Jacksonville,FL,Pablo Creek Regio0l Library,taxes_in_retirement_567,24,0.83,20,26,21,37.87,13,0,0.5,61.7,2023-11-15,12.0,40439,37.45,168900,,"Omnitrust Wealth Ma0gement, Inc.",Library,True,True
2023-10-11,18:30:00,DN-018552,Anthony C. Kurnellas,Orange Park,FL,St. Johns River State College - Thrasher Horne Center,taxes_in_retirement_567,24,0.92,22,25,21,47.3,15,0,0.6,63.95,2023-09-27,14.0,54304,37.45,43800,,"Omnitrust Wealth Ma0gement, Inc.",University/College,True,True
2024-11-18,18:00:00,DN-024454,Christopher Grant Conness,Fort Lauderdale,FL,ArtServe,taxes_in_retirement_567,24,1.0,24,24,21,31.67,11,0,0.46,75.87,2024-11-04,9.0,53233,36.88,119000,,"Global Wealth Ma0gement Investment Advisory, Inc.",Art Center/Theatre,True,True
2024-07-09,18:00:00,DN-023089,Winter Andrew Troxel,Sandy Spring,MD,Sandy Spring Friends School,taxes_in_retirement_567,36,0.81,29,37,21,58.89,16,0,0.43,107.67,2024-06-25,14.0,70922,36.53,56700,,"Kestra Advisory Services, LLC",Public Schools,True,True
2023-09-26,11:00:00,DN-020894,Clifton Anthony Ross,Maple Grove,MN,MAPLE GROVE COMMUNITY CENTER,taxes_in_retirement_567,24,0.75,18,23,21,66.88,7,0,0.3,200.97,2023-09-12,16.0,60814,36.29,74400,,Belpointe Asset Ma0gement LLC,Community Center,True,True
2023-04-11,11:00:00,DN-017452,Diron Michael Insley,Arlington,VA,Marymount University - Ballston Center,taxes_in_retirement_567,36,0.64,23,29,21,63.29,10,0,0.34,141.88,2023-03-28,16.0,62886,36.23,209100,,,University/College,True,True
2025-03-31,10:00:00,123648,Dwight Mejan,Boone,NC,Appalachian State University,taxes_in_retirement_567,50,0.44,22,23,21,56.11,8,0,0.35,155.1,2025-03-19,13.0,77494,36.2,51589,0,Brookstone Capital Ma0gement LLC,University/College,True,True
2023-12-04,11:00:00,DN-020608,Jordan Flowers,Grayslake,IL,University Center of Lake County - Conference Center,taxes_in_retirement_567,55,0.44,24,27,21,55.05,15,2,0.56,95.61,2023-11-20,11.0,66439,35.63,51300,,Brookstone Capital Ma0gement LLC,Business/Conference Center,True,True
2024-07-16,14:00:00,DN-023774,Amy Christine Novakovich,Dallas,TX,University Park Public Library,taxes_in_retirement_567,48,0.58,28,33,21,78.77,13,2,0.39,128.11,2024-07-02,10.0,82043,35.53,175300,,"Nova Wealth Ma0gement, Inc.",Library,True,True
2023-03-01,13:00:00,DN-019190,Travis Johnson,Renton,WA,Renton Community Center,taxes_in_retirement_567,31,0.52,16,22,21,66.34,12,0,0.55,105.7,2023-02-15,13.0,75000,35.38,94000,,The Retirement Solution LLC,Community Center,True,True
2023-02-22,18:30:00,DN-018055,Shea Swenson,Bountiful,UT,South Davis Recreation Center,taxes_in_retirement_567,24,0.71,17,23,21,47.2,9,0,0.39,109.01,2023-02-07,15.0,62793,35.33,28700,,"Kinetic Investment Ma0gement, Inc.",Recreation Center,True,True
2023-09-06,15:30:00,DN-020081,Ken Patrick Nowland,Prescott,AZ,Prescott Public Library,taxes_in_retirement_567,24,0.83,20,26,21,72.62,15,1,0.58,121.04,2023-08-23,14.0,51980,34.93,40500,,"AE Wealth Ma0gement, LLC",Library,True,True
2024-05-01,18:00:00,DN-023388,Ali Hashemian,Burbank,CA,Bue0 Vista Branch Library,taxes_in_retirement_567,48,0.4,19,26,21,53.12,9,0,0.35,144.3,2024-04-16,15.0,101584,34.51,235200,,"Kinetic Investment Ma0gement, Inc.",Library,True,True
2025-03-20,11:00:00,118962,Matt Kuhns,Vien0,VA,Vien0 Community Center,taxes_in_retirement_567,36,0.94,34,39,21,57.67,23,2,0.59,82.92,2025-03-06,15.0,80510,34.38,63400,LPL Fi0ncial LLC,0,Community Center,True,True
2024-04-03,18:30:00,DN-023024,Chad Michael Ensign,Tucson,AZ,Junior League of Tucson,taxes_in_retirement_567,24,0.88,21,26,21,64.09,7,0,0.27,228.84,2024-03-18,15.0,56094,34.28,115200,,"AE Wealth Ma0gement, LLC",Community Center,True,True
2023-12-07,18:30:00,DN-019984,Rick O'Neal,Lee's Summit,MO,Lee's Summit Branch Library,taxes_in_retirement_567,24,0.75,18,24,21,47.13,9,1,0.38,117.97,2023-11-22,16.0,63390,34.2,43200,"Madison Avenue Securities, LLC","Madison Avenue Securities, LLC",Library,True,True
2023-03-30,18:00:00,DN-019186,Edward Rossi,Saugus,MA,Saugus Public Library,taxes_in_retirement_567,31,0.58,18,24,21,57.42,9,0,0.38,137.74,2023-03-14,16.0,74065,34.11,120600,,,Library,True,True
2024-05-08,11:00:00,DN-022641,Daniel Razvi,Leesburg,VA,Thomas Balch Library,taxes_in_retirement_567,48,0.46,22,25,21,64.95,16,1,0.64,88.19,2024-04-23,15.0,82387,33.9,32000,,,Library,True,True
2023-05-18,18:00:00,DN-019827,Ro0ld Dean Segon,Lincoln,CA,Lincoln Public Library,taxes_in_retirement_567,24,0.79,19,24,21,48.18,13,2,0.54,66.33,2023-05-04,12.0,52745,33.8,70300,,,Library,True,True
2024-03-19,18:00:00,DN-022007,James Mark Trippon,The Woodlands,TX,University Center at LSC-Montgomery,taxes_in_retirement_567,36,0.64,23,25,21,74.94,13,0,0.52,138.16,2024-03-05,17.0,88891,33.72,69000,,Trippon Wealth Ma0gement Group LLC,University/College,True,True
2024-06-18,18:30:00,DN-024044,Scott David Winstead,Grapevine,TX,Grapevine Chamber of Commerce,taxes_in_retirement_567,48,0.44,21,25,21,70.62,9,0,0.36,175.44,2024-06-04,11.0,44041,33.67,103500,,Foundations Investment Advisors LLC,Chamber of Commerce,True,True
2023-09-13,12:30:00,DN-020008,Anthony Mario Landi,Palm Harbor,FL,East Lake Community Library,taxes_in_retirement_567,36,0.75,27,29,21,58.02,16,2,0.55,84.91,2023-08-30,14.0,81911,33.29,78800,,Sterling Bridge Fi0ncial Group LLC,Library,True,True
2023-03-28,11:00:00,DN-019469,Adam Bruno,Fort Myers,FL,Hilton Garden Inn Fort Myers,taxes_in_retirement_567,36,0.53,19,22,21,66.45,9,0,0.41,144.34,2023-03-13,15.0,75979,33.23,114900,,Evolution Wealth Ma0gement Inc.,Hotel,True,True
2024-03-15,11:00:00,DN-021935,Christopher Grant Conness,Wilton Manors,FL,The Pride Center at Equality Park,taxes_in_retirement_567,36,0.5,18,21,21,42.25,12,0,0.57,73.94,2024-03-04,14.0,73427,32.8,171100,"Madison Avenue Securities, LLC","Global Wealth Ma0gement Investment Advisory, Inc.",Community Center,True,True
2024-05-08,18:00:00,DN-023652,Samir Elias Abdullah,Katy,TX,The Katy Chamber of Commerce,taxes_in_retirement_567,24,0.67,16,21,21,48.45,4,0,0.19,248.81,2024-04-23,16.0,66459,32.8,81600,"Equity Services, Inc.","Equity Services, Inc.",Chamber of Commerce,True,True
2024-02-08,18:00:00,DN-021399,Troy Michael Bender,Lagu0 Niguel,CA,Sea Country Senior and Community Center,taxes_in_retirement_567,48,0.5,24,26,21,56.81,15,0,0.58,85.93,2024-01-23,14.0,90157,32.77,122900,"Cambridge Investment Research, Inc.",,Community Center,True,True
2024-11-14,18:00:00,DN-024993,Matthew Ryan Hale,Charlottesville,VA,University of Virginia - Alumni Hall,taxes_in_retirement_567,30,0.67,20,25,21,17.65,10,0,0.4,45.5,2024-10-31,7.0,27567,32.64,26100,Cetera Advisor Networks LLC,Cetera Investment Advisers LLC,University/College,True,True
